FirstSubID SUBID ProjID M200(Msun/h) Rein(kpc/h) VDSIE(km/s) slat lambda	VD_apt(km/s) Rapt(kpc/h) VD_e(km/s) Reff_ser(kpc/h) PL-slope_e
     35327         0         1 5.54971E+13     8.88946   360.85892     1.12387     1.19788	     357.92819       7.10727     364.79761      15.78367       1.71910
     54707         0         1 1.69736E+13     4.58721   259.22324     1.89843     1.40396	     314.39609       7.10727     314.56711       7.17233       2.10181
     56582         0         1 1.03278E+13     4.33861   252.10130     1.24687     1.15242	     346.44061       7.10727     360.49689       2.24031       1.99124
     43749         0         3 1.72426E+13     4.13715   246.17858     1.52036     1.33555	     305.13431       7.10727     304.77460       6.69716       1.93044
     31645         0         3 7.17578E+12     3.51355   226.86779     0.92149     1.29974	     335.30310       7.10727     334.06421       6.86610       2.23481
     38307         0         1 2.84293E+12     2.75868   201.02516     1.31103     1.25650	     298.32391       7.10727     300.19800       5.63364       2.14524
     79894         0         2 6.44090E+12     2.58010   194.40959     0.98533     1.15039	     286.03671       7.10727     279.76810       3.85218       2.54425
