FirstSubID SUBID ProjID M200(Msun/h) Rein(kpc/h) VDSIE(km/s) slat lambda	VD_apt(km/s) Rapt(kpc/h) VD_e(km/s) Reff_ser(kpc/h) PL-slope_e
     35327         0         2 3.21158E+12     4.48374   256.28315     1.18409     0.93188	     347.78159       7.10727     351.79529      14.72793       1.74503
     67483         0         2 2.51191E+12     3.45297   224.90347     1.31319     0.95601	     321.98849       7.10727     316.71191      13.94159       1.82661
     67483         0         3 1.50130E+12     3.38543   222.69296     0.10209     0.13081	     295.80450       7.10727     295.40350      13.93410       1.82647
    106840         0         1 1.63670E+12     2.66640   197.63439     0.35582     0.37194	     295.90189       7.10727     296.43100       2.24036       2.28260
     28221         0         1 2.30080E+12     2.47000   190.21652     0.01104     0.01322	     244.63811       7.10727     238.61259       4.29660       2.31613
     64516         0         3 1.46467E+12     2.38680   186.98554     0.70635     0.66397	     229.40430       7.10727     240.82570      10.66803       2.11382
    147093         0         1 1.09877E+12     2.10812   175.73063     0.45104     0.47762	     249.28059       7.10727     253.91530       8.67224       2.23287
     93295         0         2 1.05246E+12     1.79630   162.21424     1.00633     0.85208	     226.96310       7.10727     223.30060       3.74982       2.00433
