Note: All positions are measured in the same coordinate 
  frame as the obtained critical curves (i.e., with 
  respect to input image mesh, centred at (0,0) arcsec.
  Galaxy light centre is at (2.613199e-03 4.277236e-03) arcsec.
  Tangential critical centre is (-4.698565e-03 -1.053996e-02) arcsec.
  Time-delay (TDE7) is w.r.t central image (in 1E7 sec).
************************************************
xs ys Nimg ximg_1 yimg_1 mag_1 TDE7_1 ... (Nimg) 
-1.13293e-01 -6.49914e-02 5 -5.10998e-04 -5.64827e-03 1.51135e-02 0.00000e+00 9.62506e-01 1.45449e+00 1.55916e+01 -1.57470e+00 -1.63117e+00 4.11838e-01 -1.42922e+01 -1.38891e+00 -1.72614e-01 -1.71464e+00 2.01545e+01 -1.48708e+00 1.17497e+00 -1.29084e+00 -1.97938e+01 -1.45876e+00 
-1.17799e-01 -6.16629e-02 5 3.07390e-04 -6.18869e-03 1.51088e-02 0.00000e+00 8.85060e-01 1.50557e+00 1.63991e+01 -1.57565e+00 -1.64344e+00 3.76254e-01 -1.56575e+01 -1.39843e+00 -2.75674e-01 -1.69477e+00 1.91749e+01 -1.48215e+00 1.18570e+00 -1.27339e+00 -1.88978e+01 -1.44851e+00 
-7.71414e-02 -8.82244e-02 5 -6.94812e-03 -1.69283e-03 1.51573e-02 0.00000e+00 1.42783e+00 1.00563e+00 1.44349e+01 -1.59055e+00 -1.55233e+00 5.56401e-01 -9.91396e+00 -1.31435e+00 5.16331e-01 -1.69612e+00 2.76535e+01 -1.53719e+00 9.19214e-01 -1.53048e+00 -2.97187e+01 -1.53585e+00 
-9.79875e-02 4.13821e-02 5 1.30810e-03 -1.66601e-02 1.52028e-02 0.00000e+00 6.54632e-01 1.73209e+00 7.50325e+00 -1.77460e+00 -6.79877e-01 -1.45120e+00 -2.43337e+02 -1.29413e+00 -6.08045e-01 -1.48546e+00 2.60356e+02 -1.29412e+00 -2.08168e-01 -1.60626e+00 -5.63261e+01 -1.29370e+00 
-1.12437e-01 -1.22558e-01 5 -2.90410e-03 6.65123e-04 1.51490e-02 0.00000e+00 1.69307e+00 2.68587e-01 -3.26542e+01 -1.49796e+00 1.48890e+00 8.26672e-01 2.51531e+01 -1.50023e+00 -1.27026e+00 1.09711e+00 -1.25913e+01 -1.33827e+00 -7.10003e-02 -1.78001e+00 1.17998e+01 -1.59538e+00 
-1.55707e-01 -4.05220e-02 5 6.92537e-03 -9.98559e-03 1.50647e-02 0.00000e+00 3.70257e-01 1.72691e+00 1.08284e+01 -1.58800e+00 -1.57128e+00 -6.10239e-01 -5.08264e+01 -1.46902e+00 -1.04215e+00 -1.33017e+00 3.33117e+01 -1.47207e+00 1.28016e+00 -1.11305e+00 -1.49034e+01 -1.37049e+00 
-1.60971e-01 -1.06617e-01 5 5.13225e-03 -2.98095e-03 1.51064e-02 0.00000e+00 5.43719e-01 1.60856e+00 1.80372e+01 -1.46513e+00 -1.01693e+00 1.39155e+00 -1.69732e+01 -1.42053e+00 -6.39644e-01 -1.63652e+00 1.01565e+01 -1.58490e+00 1.67481e+00 -1.43521e-01 -1.46847e+01 -1.40909e+00 
-1.61689e-01 -1.48328e-01 5 3.59972e-03 1.54087e-03 1.51538e-02 0.00000e+00 1.54818e+00 5.85884e-01 -3.39768e+01 -1.39886e+00 1.31286e+00 9.96604e-01 1.13590e+02 -1.39959e+00 -7.74718e-01 1.49781e+00 -9.04089e+00 -1.35553e+00 -5.25442e-01 -1.72003e+00 8.26784e+00 -1.66121e+00 
-1.39073e-01 -5.58145e-02 5 3.78474e-03 -7.66310e-03 1.50859e-02 0.00000e+00 5.95748e-01 1.64550e+00 1.20437e+01 -1.56854e+00 -1.67038e+00 3.43818e-01 -2.18392e+01 -1.43859e+00 -6.16031e-01 -1.58998e+00 1.44313e+01 -1.48202e+00 1.31087e+00 -1.10997e+00 -2.01224e+01 -1.41197e+00 
-1.06959e-01 -1.74749e-02 5 3.85687e-04 -1.05846e-02 1.51057e-02 0.00000e+00 7.62755e-01 1.62246e+00 1.08039e+01 -1.66000e+00 -1.50532e+00 -6.34752e-01 -1.99920e+01 -1.37227e+00 -1.74423e-01 -1.66849e+00 5.03649e+01 -1.39891e+00 7.72629e-01 -1.52231e+00 -1.37526e+01 -1.39155e+00 
-1.93395e-01 -1.77246e-01 5 7.30481e-03 3.45371e-03 1.51926e-02 0.00000e+00 1.08341e+00 1.18831e+00 -1.49530e+02 -1.32404e+00 1.38069e-01 1.63372e+00 6.17966e+01 -1.32785e+00 -3.27441e-01 1.62602e+00 -3.29810e+01 -1.32704e+00 -6.83688e-01 -1.69749e+00 7.42412e+00 -1.73558e+00 
-1.24146e-01 -1.24076e-01 5 -1.17660e-03 3.70688e-04 1.51455e-02 0.00000e+00 1.68492e+00 2.50827e-01 -2.57976e+01 -1.47638e+00 1.41092e+00 9.32711e-01 2.65337e+01 -1.48066e+00 -1.19382e+00 1.19206e+00 -1.36058e+01 -1.35227e+00 -2.13269e-01 -1.76623e+00 1.17796e+01 -1.60031e+00 
-1.89970e-01 -1.69235e-01 5 7.09692e-03 2.71368e-03 1.51819e-02 0.00000e+00 1.32745e+00 9.21694e-01 -8.56563e+01 -1.33791e+00 2.49668e-01 1.62400e+00 4.39177e+01 -1.34292e+00 -4.40605e-01 1.61070e+00 -1.78855e+01 -1.33986e+00 -6.80848e-01 -1.68972e+00 7.65292e+00 -1.71862e+00 
