FirstSubID SUBID ProjID M200(Msun/h) Rein(kpc/h) VDSIE(km/s) slat lambda	VD_apt(km/s) Rapt(kpc/h) VD_e(km/s) Reff_ser(kpc/h) PL-slope_e
     16254         0         2 8.56066E+12     4.65570   261.15135     0.70309     0.86066	     338.79721       7.10727     336.84979       9.55145       2.04711
     87854         0         3 3.24617E+12     2.83158   203.66412     0.19034     0.30133	     295.67029       7.10727     304.69379       2.93297       2.37063
    140304         0         1 4.95815E+12     2.56069   193.67705     0.50799     0.70804	     234.30881       7.10727     245.89639       9.35738       1.64187
    100527         0         2 2.25728E+12     2.08329   174.69283     0.32740     0.45807	     242.70970       7.10727     245.69070      13.70239       2.54644
    100527         0         3 1.66120E+12     1.90133   166.88928     0.01502     0.02460	     194.15829       7.10727     202.25841      11.33488       2.39009
