FirstSubID SUBID ProjID M200(Msun/h) Rein(kpc/h) VDSIE(km/s) slat lambda	VD_apt(km/s) Rapt(kpc/h) VD_e(km/s) Reff_ser(kpc/h) PL-slope_e
     56582         0         3 6.00132E+12     4.01608   242.54982     1.60180     1.12504	     301.79230       7.10727     303.95709       2.57075       2.10428
     78699         0         2 5.89938E+12     3.52010   227.07917     1.74408     1.07183	     297.83969       7.10727     296.63419       5.24820       2.20245
    106840         0         2 2.13864E+12     3.46455   225.28035     1.97636     1.09160	     260.83441       7.10727     250.19350       3.12742       2.48489
     78699         0         1 2.60744E+12     3.46161   225.18480     1.41070     1.07071	     297.39182       7.10727     293.79120       5.72329       2.26134
     93295         0         1 2.52830E+12     2.36979   186.31815     1.83356     1.10836	     239.43690       7.10727     231.28300       3.34653       1.89915
